filename, tamarin-prover result , tamarin-prover time
./KEMTLS/kemtls-clientauth.spthy,,6004.937831074
./KEMTLS/kemtls-noaead.spthy,  false_exec (all-traces): falsified - found trace (11 steps)   false_execbis (all-traces): falsified - found trace (10 steps)   true_auth (all-traces): verified (165 steps)   false_secserv (all-traces): falsified - found trace (18 steps)   true_secclient (all-traces): verified (872 steps) ,2439.728135841
./KEMTLS/kemtls.spthy,  false_exec (all-traces): falsified - found trace (11 steps)   false_execbis (all-traces): falsified - found trace (10 steps)   true_auth (all-traces): verified (63 steps)   false_secserv (all-traces): falsified - found trace (19 steps)   true_secclient (all-traces): verified (173 steps) ,564.809684907
./LAKE/lake-edhoc-DHmode-FS.spthy,,477.911013805
./LAKE/lake-edhoc-DHmode-KCI.spthy,  true_secretIDH (all-traces): verified (120 steps)   false_secretRDH (all-traces): falsified - found trace (25 steps)   false_honnestauthRIDH (all-traces): falsified - found trace (25 steps)   true_honnestauthIRDH (all-traces): verified (21 steps) ,1885.062434114
./LAKE/lake-edhoc.spthy,  true_secretR (all-traces): verified (20 steps)   true_secretI (all-traces): verified (19 steps)   false_executableR (all-traces): falsified - found trace (7 steps)   false_executableI (all-traces): falsified - found trace (6 steps)   false_executableIhonnest (all-traces): falsified - found trace (8 steps)   false_executableRhonnest (all-traces): falsified - found trace (9 steps)   false_dishonnestnoauthRI (all-traces): falsified - found trace (15 steps)   false_dishonnestnoauthIR (all-traces): falsified - found trace (13 steps)   true_honnestauthRI (all-traces): verified (8 steps)   true_honnestauthIR (all-traces): verified (8 steps) ,237.738694681
./SSH/ssh-with-one-forwarding.spthy,,6017.925119754
./SSH/ssh-without-forwarding.spthy,  true_secretP (all-traces): verified (9 steps)   true_injPS (all-traces): verified (6 steps)   true_unique_AcceptP (all-traces): verified (8 steps)   true_unique_AcceptS2 (all-traces): verified (8 steps)   true_unique_AcceptP2 (all-traces): verified (8 steps)   true_injSP (all-traces): verified (15 steps)   true_secretS (all-traces): verified (4 steps)   false_executableS2 (all-traces): falsified - found trace (14 steps) ,10.584053924
./States/canauth.spthy,,6004.076625134
./States/scytl-voting-system.spthy,  exists_vote (all-traces): falsified - found trace (12 steps)   single_vote (all-traces): verified (21 steps)   cast_as_intended (all-traces): verified (20 steps)   tallied_as_cast (all-traces): verified (45 steps) ,68.231096908
./States/secure-device.spthy,,6002.480274551
./ex1.spthy,  secret (all-traces): verified (4 steps)   received (exists-trace): verified (4 steps) ,0.419200141
./privacypass.spthy,  true_honnestauthRI (all-traces): verified (185 steps)   false_exec (all-traces): falsified - found trace (8 steps) ,11.934281295
./ExistingSapicModels/AC_sid_with_attack.spthy,  attested_comput (all-traces): falsified - found trace (31 steps) ,79.875939
./ExistingSapicModels/nsl-no_as-untagged.spthy,  sanity1 (all-traces): falsified - found trace (8 steps)   sanity2 (all-traces): falsified - found trace (8 steps)   source (all-traces): verified (40 steps)   secrecy (all-traces): verified (310 steps) ,17.38961623
./ExistingSapicModels/AC_counter_with_attack.spthy,  attested_comput_second_step (all-traces): falsified - found trace (10 steps) ,5.414730072
./ExistingSapicModels/AC.spthy,  can_run_v (exists-trace): verified (8 steps)   attested_comput (all-traces): verified (15 steps) ,1.654133387
./ExistingSapicModels/AKE.spthy,  can_run_p (exists-trace): verified (3 steps)   can_run_v (exists-trace): verified (5 steps)   sanity1 (exists-trace): verified (3 steps)   sanity2 (exists-trace): verified (5 steps)   sanity3 (all-traces): verified (3 steps)   secrecy (all-traces): verified (6 steps) ,0.856833603
./ExistingSapicModels/OTP.spthy,  reachV (exists-trace): verified (4 steps)   secrecy_key (all-traces): verified (8 steps)   key_ex (all-traces): verified (17 steps)   secrecy_ex (all-traces): verified (11 steps)   unic (all-traces): verified (2 steps)   secrecy_chall (all-traces): verified (62 steps)   valid (all-traces): verified (55 steps)   unic_2 (all-traces): verified (8 steps) ,8.292583216
